Employee_Name,EmpID,MarriedID,MaritalStatusID,Gender,EmpStatusID,DeptID,PerfScoreID,FromDiversityJobFairID,Salary,Termd,PositionID,Position,State,Zip,DOB,Sex,MaritalDesc,CitizenDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences,DistanceFromHome,Age,Attrition,BusinessTravel,Education,EducationField,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
"Adinolfi, Wilson  K",10026,0,0,Female,1,5,4,0,62506,0,19,Production Technician I,MA,1960,07/10/83,M ,Single,US Citizen,7/5/2011,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,LinkedIn,Exceeds,4.6,5,0,1/17/2019,0,1,16,41,Yes,Travel_Rarely,2,Life Sciences,4,5993,19479,8,Yes,11,3,80,0,8,0,1,6,4,0,5
"Ait Sidi, Karthikeyan   ",10084,1,1,Male,5,3,3,0,104437,1,27,Sr. DBA,MA,2148,05/05/75,M ,Married,US Citizen,3/30/2015,6/16/2016,career change,Voluntarily Terminated,IT/IS,Simon Roup,4,Indeed,Fully Meets,4.96,3,6,2/24/2016,0,17,36,49,No,Travel_Frequently,1,Life Sciences,2,5130,24907,1,No,23,4,80,1,10,3,3,10,7,1,7
"Akinkuolie, Sarah",10196,1,1,Male,5,5,3,0,64955,1,20,Production Technician II,MA,1810,09/19/88,F,Married,US Citizen,7/5/2011,9/24/2012,hours,Voluntarily Terminated,Production       ,Kissy Sullivan,20,LinkedIn,Fully Meets,3.02,3,0,5/15/2012,0,3,14,37,Yes,Travel_Rarely,2,Other,3,2090,2396,6,Yes,15,3,80,0,7,3,3,0,0,0,0
"Alagbe,Trina",10088,1,1,Female,1,5,3,0,64991,0,19,Production Technician I,MA,1886,09/27/88,F,Married,US Citizen,1/7/2008,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,16,Indeed,Fully Meets,4.84,5,0,1/3/2019,0,15,100,33,No,Travel_Frequently,4,Life Sciences,3,2909,23159,1,Yes,11,3,80,0,8,3,3,8,7,3,0
"Anderson, Carol ",10069,0,2,Male,5,5,3,0,50825,1,19,Production Technician I,MA,2169,09/08/89,F,Divorced,US Citizen,7/11/2011,9/6/2016,return to school,Voluntarily Terminated,Production       ,Webster Butler,39,Google Search,Fully Meets,5,4,0,2/1/2016,0,2,63,27,No,Travel_Rarely,1,Medical,2,3468,16632,9,No,12,3,80,1,6,3,3,2,2,2,2
"Anderson, Linda  ",10002,0,0,Male,1,5,4,0,57568,0,19,Production Technician I,MA,1844,05/22/77,F,Single,US Citizen,1/9/2012,,N/A-StillEmployed,Active,Production       ,Amy Dunn,11,LinkedIn,Exceeds,5,5,0,1/7/2019,0,15,65,32,No,Travel_Frequently,2,Life Sciences,4,3068,11864,0,No,13,3,80,0,8,2,2,7,7,3,6
"Andreola, Colby",10194,0,0,Female,1,4,3,0,95660,0,24,Software Engineer,MA,2110,05/24/79,F,Single,US Citizen,11/10/2014,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,10,LinkedIn,Fully Meets,3.04,3,4,1/2/2019,0,19,69,59,No,Travel_Rarely,3,Medical,1,2670,9964,4,Yes,20,4,80,3,12,3,2,1,0,0,0
"Athwal, Sam",10062,0,4,Male,1,5,3,0,59365,0,19,Production Technician I,MA,2199,02/18/83,M ,Widowed,US Citizen,9/30/2013,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,19,Employee Referral,Fully Meets,5,4,0,2/25/2019,0,19,88,30,No,Travel_Rarely,1,Life Sciences,3,2693,13335,1,No,22,4,80,1,1,2,3,1,0,0,0
"Bachiochi, Linda",10114,0,0,Male,3,5,3,1,47837,0,19,Production Technician I,MA,1902,02/11/70,F,Single,US Citizen,7/6/2009,,N/A-StillEmployed,Active,Production       ,Brannon Miller,12,Diversity Job Fair,Fully Meets,4.46,3,0,1/25/2019,0,4,80,38,No,Travel_Frequently,3,Life Sciences,3,9526,8787,0,No,21,4,80,0,10,2,3,9,7,1,8
"Bacong, Alejandro ",10250,0,2,Male,1,3,3,0,50178,0,14,IT Support,MA,1886,01/07/88,M ,Divorced,US Citizen,1/5/2015,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,7,Indeed,Fully Meets,5,5,6,2/18/2019,0,16,68,36,No,Travel_Rarely,3,Medical,3,5237,16577,6,No,13,3,80,2,17,3,2,7,7,7,7
